Region,Rank,Species,,
Bahamas, 1,C. personatus,,
Bahamas, 2,G. loreto,,
Bahamas, 3,H. bivittatus,,
Bahamas, 4,T. bifasciatum,,
Bahamas, 5,H. garnoti,,
Bahamas, 6,C. eidolon,,
Bahamas, 7,C. cyanea,,
Bahamas, 8,S. leucostictus,,
Bahamas, 9,M. macropus,,
Bahamas, 10,S. hispidus,,
Bahamas, 11,C. parrae,,
Bahamas, 12,S. iserti,,
Bahamas, 13,A. townsendi,,
Bahamas, 14,L. zingaro,,
Bahamas, 15,A. binotatus,,
Bahamas, 16,S. hispidus,,
Bahamas, 17,M. triangulatus,,
Bahamas, 18,C. rigens,,
Bahamas, 19,S. tigrinus,,
Bahamas, 20,C. dicrus,,
Bahamas, 21,A. bahianus,,
Bahamas, 22,G. melacara,,
Bahamas, 23,M. tuckeri,,
Bahamas, 24,S. partitus,,
Bahamas, 25,H. adscensionis,,
Bahamas, 26,E. striatus,,
Bahamas, 27,H. pictus,,
Bahamas, 28,H. plumieri,,
Bahamas, 29,C. multilineata,,
Bahamas, 30,B. rufus,,
Bahamas, 31,P. maculatus,,
Bahamas, 32,S. taeniopterus,,
Bahamas, 33,S. coruscum,,
Bahamas, 34,L. rubre,,
Bahamas, 35,A. chirurgus,,
Bahamas, 36,A. maculatus,,
Bahamas, 37,S. variabilis,,
Bahamas, 38,L. synagris,,
Bahamas, 39,P. hipoliti,,
Bahamas, 40,C. insolata,,
Bahamas, 41,C. rostrata,,
Bahamas, 42,A. saxatilis,,
Bahamas, 43,A. pinos,,
Bahamas, 44,S. setifer,,
Bahamas, 45,H. radiatus,,
Bahamas, 46,M. boehlkei,,
Bahamas, 47,C. glaucofraenum,,
Bahamas, 48,H. aurolineatum,,
Bahamas, 49,S. vexillarium,,
Bahamas, 50,H. maculipinna,,
Bahamas, 51,X. splendens,,
Bahamas, 52,C. tricolor,,
Bahamas, 53,O. chrysurus,,
Bahamas, 54,S. viride,,
Belize, 1,S. partitus,,
Belize, 2,H. bivittatus,,
Belize, 3,H. garnoti,,
Belize, 4,T. bifasciatum,,
Belize, 5,C. cyanea,,
Belize, 6,C. manningi,,
Belize, 7,S. aurofrenatum,,
Belize, 8,M. tuckeri,,
Belize, 9,C. personatus,,
Belize, 10,S.iserti,,
Belize, 11,C. parrae,,
Belize, 12,S. atomarium,,
Belize, 13,S. caribbaeus,,
Belize, 14,C. flammea,,
Belize, 15,A. pinos,,
Belize, 16,M. triangulatus,,
Belize, 17,M. boehlkei,,
Belize, 18,A. coeruleus,,
