"subregion" "min_date" "max_abund" "min_abund" "max_date" "mid_date" "mid_abund" "time_max_abund" "rate_of_inc"
"1" 21 2011-07-03 4 1 2013-05-28 2012-06-15 1 1.9041095890411 0.525179856115108
"2" 23 2013-11-24 3 2 2017-05-10 2015-08-18 0 3.46027397260274 0
"3" 24 2012-09-07 3 1 2013-07-16 2013-02-10 NA 0.854794520547945 NA
"4" 31 2002-09-16 3 1 2014-07-06 2008-08-11 0 11.8109589041096 0
"5" 32 2009-09-02 3 1 2011-07-02 2010-08-02 1 1.83013698630137 0.546407185628742
"6" 33 2004-02-14 4 1 2013-11-02 2008-12-23 0 9.72328767123288 0
"7" 34 2009-08-04 4 1 2014-08-06 2012-02-04 1 5.00821917808219 0.199671772428884
"8" 41 2007-03-23 3 1 2007-04-20 2007-04-06 1 0.0767123287671233 13.0357142857143
"9" 42 2004-10-26 3 1 2007-02-02 2005-12-14 NA 2.27123287671233 NA
"10" 43 2009-07-08 3 1 2010-04-20 2009-11-28 NA 0.783561643835616 NA
"11" 44 2007-08-15 3 1 2008-12-14 2008-04-15 1 1.33424657534247 0.749486652977413
"12" 51 2004-12-04 3 1 2009-08-05 2007-04-05 NA 4.67123287671233 NA
"13" 52 2009-02-17 3 1 2010-11-09 2009-12-29 1 1.72602739726027 0.579365079365079
"14" 53 2009-05-08 3 1 2009-12-22 2009-08-30 NA 0.624657534246575 NA
"15" 54 2009-04-25 4 1 2014-11-13 2012-02-03 1 5.55616438356164 0.179980276134122
"16" 55 2009-12-06 3 1 2011-03-24 2010-07-30 NA 1.2958904109589 NA
"17" 57 2009-07-15 4 1 2014-02-25 2011-11-05 2 4.61917808219178 0.432977461447212
"18" 63 2010-01-31 3 1 2013-09-09 2011-11-20 NA 3.60821917808219 NA
"19" 64 2010-08-16 3 1 2012-10-09 2011-09-12 1 2.15068493150685 0.464968152866242
"20" 65 2011-01-22 3 1 2012-01-27 2011-07-26 0 1.01369863013699 0
"21" 71 2011-10-22 3 1 2013-01-16 2012-06-04 0 1.23835616438356 0
"22" 73 2012-05-20 3 1 2012-12-28 2012-09-08 1 0.608219178082192 1.64414414414414
"23" 82 2012-06-10 3 1 2012-06-13 2012-06-12 1 0.00821917808219178 121.666666666667
"24" 84 2011-06-08 3 1 2015-01-28 2013-04-03 NA 3.64383561643836 NA
"25" 85 2009-11-13 3 1 2011-03-10 2010-07-12 1 1.32054794520548 0.757261410788382
"26" 86 2013-05-24 3 1 2017-08-02 2015-06-29 1 4.19452054794521 0.238406270411496
