Country,shallow,deep
Aruba,0,1
Barbados,2,1
Belize,24,2
Bermuda,5,3
Bonaire,4,7
Colombia,12,4
Cuba,3,2
Curaçao,3,17
Dominica,2,4
Honduras,13,8
Jamaica,2,2
Mexico,18,9
Nicaragua,3,3
Panama,12,1
Sint Eustatius,0,3
St. Lucia,0,2
St. Vincent and the Grenadines,1,3
The Bahamas,12,12
Trinidad and Tobago,6,3
United States,9,9
Venezuela,13,7
British Virgin Islands,1,2
Dominican Republic,1,1
U.S. Virgin Islands,4,0
Cayman Islands,8,0
Haiti,3,0
Costa Rica,1,0
St. Barthélemy,2,0
Puerto Rico,7,0
Martinique,1,0
Guatemala,1,0
Navassa Island,2,0
Saint Kitts and Nevis,1,0
Turks and Caicos,1,0
Saba Bank,1,0
