family,binomial,common_name,diet_study_yn,diet_study,cleaner_score,nocturnal_score,habitat_score,water column_position score,body_length_score,ratio_score,cum_vulnerab_score
Pomacentridae,Abudefduf saxatilis,Sergeant-major,yes,1,1,0,1,1,0,0,3
Pomacentridae,Abudefduf taurus,Night Sergeant,no,0,1,0,1,1,0,0,3
Chaenopsidae,Acanthemblemaria aspera,Roughhead Blenny,yes,1,1,0,1,0,1,1,4
Chaenopsidae,Acanthemblemaria betinensis,Speckled Blenny,yes,1,1,0,1,0,1,1,4
Chaenopsidae,Acanthemblemaria chaplini,Papillose Blenny,no,0,1,0,1,1,1,1,5
Chaenopsidae,Acanthemblemaria greenfieldi,False Papillose Blenny,no,0,1,0,1,1,1,1,5
Chaenopsidae,Acanthemblemaria harpeza,Thorny-bush Blenny,no,0,1,0,1,1,1,1,5
Chaenopsidae,Acanthemblemaria johnsoni,White-cheeked Blenny,no,0,1,0,1,1,1,1,5
Chaenopsidae,Acanthemblemaria maria,Secretary Blenny,yes,1,1,0,1,0,1,1,4
Chaenopsidae,Acanthemblemaria medusa,Medusa Blenny,no,0,1,0,1,1,1,1,5
Chaenopsidae,Acanthemblemaria paula,Dwarf Spinyhead Blenny,no,0,1,0,1,0,1,1,4
Chaenopsidae,Acanthemblemaria rivasi,Spotjaw Blenny,no,0,1,0,1,1,1,1,5
Chaenopsidae,Acanthemblemaria spinosa,Spinyhead Blenny,no,0,1,0,1,0,1,1,4
Ostraciidae,Acanthostracion polygonius,Honeycomb Cowfish,no,0,1,0,1,1,0,0,3
Ostraciidae,Acanthostracion quadricornis,Scrawled Cowfish,no,0,1,0,1,1,0,0,3
Acanthuridae,Acanthurus chirurgus,"Doctorfish, Black Doctorfish",yes,1,1,0,1,1,0,0,3
Acanthuridae,Acanthurus coeruleus,"Blue Tang, Blue Doctorfish",yes,1,1,0,1,1,0,0,3
Acanthuridae,Acanthurus tractus,"Ocean Surgeon, Grey Doctorfish",yes,1,1,0,1,1,0,0,3
Syngnathidae,Acentronura dendritica,"Pipehorse, Seahorse Pipefish",no,0,1,0,1,1,1,1,5
Achiridae,Achirus achirus,Drab Sole,no,0,1,0,0,1,0,0,2
Achiridae,Achirus declivis,Plainfin Sole,no,0,1,0,0,1,0,0,2
Achiridae,Achirus lineatus,Lined Sole,no,0,1,0,0,1,0,0,2
Acipenseridae,Acipenser brevirostrum,Shortnose Sturgeon,no,0,1,0,0,1,0,1,3
